country,type,access,model,sensor,platform,year,spec_band,min_band(nm),max_band(nm),publisher,technologies,object_class,dataset_name,n-gram
Spain,conference,Pay Wall,YOLOv5,"RGB, NIR, NDVI",multirotor,2023,,450,840,IEEE,"RGB, NIR, NDVI",vegitation,custom,"('images', 7), ('rgb', 4), ('alignment', 4), ('fusion', 4), ('object', 3)"
Lithuania,peer reviwed,Open Access,Tensorflow,"Coastal, NIR, RGB, ",satellite,2021,,400,954,Springer,"Coastal, NIR, RGB, ",vehicles,custom,"('satellite', 5), ('imagery', 4), ('applications', 3), ('analyse', 2), ('research', 2)"
Germany,peer reviwed,Pay Wall,CNN,MSI,satellite,2021,,453,2300,IEEE,"MSI, Landsat-8",clouds,Landsat-8,"('rs', 8), ('multispectral', 5), ('images', 5), ('haze', 5), ('data', 4)"
China,pre-print,Open Access,DETR,"RGB, LWIR","ground, satellite",2024,,450,14000,Arxiv,CNN,humans,"M3FD, FLIR, LLVIP, VEDAI","('complementary', 5), ('information', 5), ('object', 4), ('detection', 3), ('modality', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",satellite,2022,,450,890,MDPI,YOLOv5 modified,mountain,Gaofen-1,"('camouflage', 5), ('algorithm', 5), ('feature', 5), ('detection', 4), ('based', 3)"
China,conference,Pay Wall,YOLO-modified,"RGB, NIR",multirotor,2022,,350,1000,IEEE,YOLOv5 modified,landmines,custom,"('method', 4), ('detection', 4), ('methods', 3), ('attention', 3), ('image', 3)"
Taiwan,peer reviwed,Open Access,YOLOv3,"RGB, LWIR",ground,2022,,450,14000,MDPI,YOLOv3,cattle,custom,"('temperature', 4), ('dairy', 4), ('identification', 4), ('image', 4), ('recognition', 4)"
China,peer reviwed,Open Access,R-CNN,"RGB, LWIR",ground,2020,,450,14000,MDPI,R-CNN,vehicles,custom,"('traffic', 7), ('weather', 4), ('bad', 3), ('conditions', 3), ('surveillance', 2)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2022,,8000,14000,Springer,YOLOv4 modified,"vehicles, humans, bicycle",FLIR,"('yolo', 6), ('network', 6), ('fruit', 4), ('detection', 3), ('inspection', 3)"
Taiwan,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2023,,450,14000,MDPI,"RGB, LWIR",humans,"KAIST multispectral pedestrian
detection dataset","('multispectral', 5), ('detection', 4), ('pedestrian', 3), ('fusion', 3), ('method', 3)"
China,peer reviwed,Pay Wall,YOLO-modified,LWIR,ground,2023,,8000,14000,Elsevier,YOLOv5 modified,power equipment,PVELAD,"('detection', 10), ('ir', 6), ('object', 4), ('information', 4), ('model', 4)"
South Korea,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",ground,2024,,550,790,MDPI,YOLOv7 modified,larva,custom,"('multispectral', 3), ('accuracy', 3), ('pedestrian', 3), ('detection', 3), ('decision', 2)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2022,,450,14000,IEEE,YOLOv5 modified,humans,"KAIST multispectral pedestrian
detection dataset","('ships', 7), ('images', 6), ('detection', 4), ('satellite', 3), ('features', 3)"
China,conference,Pay Wall,"YOLOX, YOLOv7, YOLOv8",LWIR,multirotor,2023,,9000,14000,Springer,"YOLOX, YOLOv7, YOLOv8","vehicles, humans, bicycle",HIT-UAV,"('infrared', 4), ('distant', 4), ('target', 4), ('detection', 4), ('model', 4)"
India,conference,Pay Wall,YOLOv3,"RGB, LWIR",ground,2020,,450,14000,IEEE,YOLOv3,"vehicles, humans","KAIST multispectral pedestrian
detection dataset","('human', 5), ('thermal', 4), ('detection', 3), ('advanced', 2), ('images', 2)"
South Korea,peer reviwed,Open Access,VGG,"RGB, LWIR",ground,2022,,450,14000,IEEE,VGG,humans,"KAIST multispectral pedestrian
detection dataset","('roi', 7), ('uncertainty', 7), ('multispectral', 5), ('modality', 5), ('predictive', 5)"
China,peer reviwed,Pay Wall,CNN,MSI,satellite,2022,,453,2300,IEEE,"MSI, polydirectional CNN",-,Landsat-8,"('feature', 6), ('cnn', 4), ('spectral', 4), ('spatial', 4), ('sspc', 4)"
Croatia,peer reviwed,Open Access,YOLOv3,LWIR,ground,2020,,8000,14000,IEEE,YOLOv3,humans,custom,"('thermal', 7), ('images', 6), ('different', 5), ('detection', 4), ('used', 4)"
India,conference,Pay Wall,YOLOv5,MSI,multirotor,2020,,475,840,IEEE,YOLOv5,vegitation,custom,"('crop', 4), ('growth', 3), ('stages', 3), ('like', 3), ('cnn', 3)"
South Korea,peer reviwed,Open Access,SVM,"VNIR, HSI",ground,2021,,400,1000,MDPI,"VNIR, MCSVM ",vegitation,-,"('seaweed', 7), ('foreign', 7), ('inspection', 6), ('objects', 4), ('accuracy', 4)"
Philippines,conference,Pay Wall,YOLOv5,"RGB, LWIR",multirotor,2022,,450,14000,IEEE,YOLOv5,humans,custom,"('person', 4), ('search', 3), ('people', 3), ('image', 3), ('must', 2)"
China,peer reviwed,Pay Wall,YOLOv4,"RGB, HSI",ground,2022,,,,Elsevier,YOLOv4,coal,custom,"('gangue', 6), ('coal', 6), ('improved', 3), ('mask', 3), ('intelligent', 2)"
South Korea,peer reviwed,Pay Wall,CNN,HSI,,2021,,1500,5000,IEEE,HSI,vehicles,-,"('channel', 5), ('object', 4), ('detection', 4), ('hsi', 4), ('sampler', 3)"
South Korea,peer reviwed,Open Access,SSD,"RGB, LWIR",ground,2024,,450,14000,MDPI,SSD,"vehicles, humans","KAIST multispectral pedestrian
detection dataset, LLVIP","('performance', 3), ('network', 3), ('dataset', 3), ('pedestrians', 2), ('images', 2)"
China,peer reviwed,Pay Wall,YOLOv5,"RGB, LWIR",ground,2023,,450,1400,IEEE,"RGB, LWIR",surface/subsurface defects,RoadScene,"('detection', 6), ('defect', 4), ('infrared', 4), ('imaging', 3), ('irt', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,satellite,2022,,800,1050,MDPI,YOLOv5 modified,boats,SDGSAT-1,"('tailings', 7), ('information', 7), ('pond', 6), ('detection', 6), ('remote', 5)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2021,,450,14000,IEEE,YOLOv5 modified,humans,"KAIST multispectral pedestrian
detection dataset, FLIR ","('feature', 6), ('spectra', 4), ('two', 3), ('methods', 2), ('features', 2)"
China,peer reviwed,Pay Wall,YOLOv5,MSI,multirotor,2023,,550,790,Elsevier,YOLOv5,vegitation,custom,"('lesion', 9), ('rgb', 6), ('images', 5), ('leaf', 5), ('leaves', 4)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, LWIR",ground,2020,,450,14000,IEEE,YOLOv3 modified,humans,"KAIST multispectral pedestrian
detection dataset","('network', 7), ('infrared', 4), ('detection', 4), ('images', 3), ('small', 2)"
China,peer reviwed,Pay Wall,YOLO-modified,"RGB, LWIR",ground,2022,,450,14000,IEEE,YOLOv5 modified,"vehicles, humans","Cityscapes, Foggy Cityscapes, BDD100K, KITTI, KAIST multispectral pedestrian
detection dataset ","('animals', 6), ('wild', 4), ('knp', 4), ('model', 4), ('animal', 3)"
China,peer reviwed,Open Access,YOLO-modified,"RGB, MSI",multirotor,2023,,450,890,MDPI,YOLOv8 modified,vegitation,custom,"('multispectral', 4), ('detection', 4), ('dataset', 4), ('object', 3), ('vision', 2)"
China,peer reviwed,Pay Wall,R-CNN,"RGB, LWIR",ground,2024,,450,14000,IEEE,R-CNN,humans,"KAIST multispectral pedestrian
detection dataset","('detection', 7), ('multispectral', 3), ('pedestrian', 3), ('result', 3), ('modalities', 3)"
China,peer reviwed,Pay Wall,YOLOv5,"RGB, IR",ground,2022,,450,1400,IEEE,"RGB, IR",humans,M3FD,"('detection', 5), ('fusion', 5), ('infrared', 3), ('approaches', 3), ('network', 3)"
China,peer reviwed,Pay Wall,CNN,HSI,,2023,,400,1000,IEEE,HSI,,"HS-SOD, HSOD-BIT","('spectral', 12), ('saliency', 6), ('edge', 6), ('salient', 5), ('information', 5)"
South Korea,peer reviwed,Pay Wall,,"RGB, LCTF",ground,2021,,420,730,Elsevier,"RGB, LCTF",vegitation,-,"('vegetables', 6), ('fluorescence', 6), ('color', 6), ('fms', 5), ('developed', 5)"
China,conference,Pay Wall,CNN,"HSI, MSI",satellite,2021,,450,1000,IEEE,"HSI, MSI",-,Cave and Moffett Field,"('network', 5), ('learning', 4), ('image', 4), ('recursive', 4), ('deep', 3)"
China,peer reviwed,Open Access,YOLO-modified,LWIR,ground,2024,,8000,14000,Tech Science Press,YOLOv5 modified,humans,FLIR,"('detection', 6), ('framework', 6), ('proposed', 5), ('tir', 4), ('adas', 4)"
Spain,peer reviwed,Pay Wall,YOLOv3,"RGB, LWIR",ground,2024,,450,14000,Elsevier,YOLOv3,humans,custom,"('pose', 6), ('images', 6), ('thermal', 5), ('sota', 3), ('built', 3)"
Italy,peer reviwed,Pay Wall,YOLOv5,LWIR,ground,2023,,8000,14000,Elsevier,YOLOv5,"humans, dogs",custom,"('images', 7), ('thermal', 6), ('object', 4), ('detection', 4), ('method', 4)"
United States,peer reviwed,Open Access,CNN,"RGB, LWIR",ground,2024,,450,14000,MDPI,CNN,turbine blades,custom,"('thermal', 5), ('deep', 4), ('learning', 4), ('imaging', 3), ('dataset', 3)"
Malaysia,conference,Pay Wall,YOLOv5,"RGB, LWIR",ground,2021,,450,14000,IEEE,YOLOv5,humans,custom,"('temperature', 13), ('body', 8), ('detection', 7), ('one', 3), ('spread', 3)"
Tunisia,conference,Pay Wall,YOLOv5,"RGB, LWIR",ground,2022,,450,14000,IEEE,YOLOv5,"vehicles, humans","KAIST multispectral pedestrian
detection dataset","('detection', 3), ('taking', 2), ('consideration', 2), ('vision', 2), ('human', 2)"
